,ID,Is_It_Dog?,Type_of_Object,Hour,Num_of_Retweet,Num_of_Favorite
0,666020888022790149,1,0,22.0,532.0,2535.0
1,666029285002620928,1,0,23.0,48.0,132.0
2,666033412701032449,1,0,23.0,47.0,128.0
3,666044226329800704,1,0,0.0,147.0,311.0
4,666049248165822465,1,0,0.0,41.0,111.0
5,666050758794694657,1,0,0.0,60.0,136.0
6,666051853826850816,0,0,0.0,879.0,1253.0
7,666055525042405380,1,0,0.0,261.0,448.0
8,666057090499244032,0,0,0.0,146.0,304.0
9,666058600524156928,1,0,1.0,61.0,115.0
10,666063827256086533,1,0,1.0,232.0,496.0
11,666071193221509120,1,0,1.0,67.0,154.0
12,666073100786774016,1,0,1.0,174.0,335.0
13,666082916733198337,1,0,2.0,47.0,121.0
14,666094000022159362,1,0,3.0,79.0,169.0
15,666099513787052032,1,0,3.0,73.0,164.0
16,666102155909144576,1,0,3.0,16.0,81.0
17,666104133288665088,0,0,4.0,6871.0,14765.0
18,666268910803644416,0,0,14.0,37.0,108.0
19,666273097616637952,1,0,15.0,82.0,184.0
20,666287406224695296,1,0,16.0,71.0,152.0
21,666293911632134144,0,0,16.0,368.0,522.0
22,666337882303524864,0,0,19.0,96.0,204.0
23,666345417576210432,1,0,20.0,146.0,307.0
24,666353288456101888,1,0,20.0,77.0,229.0
25,666362758909284353,0,0,21.0,595.0,804.0
26,666373753744588802,1,0,21.0,100.0,194.0
27,666396247373291520,1,0,23.0,92.0,172.0
28,666407126856765440,1,0,0.0,44.0,113.0
29,666411507551481857,0,0,0.0,339.0,459.0
30,666418789513326592,1,0,0.0,48.0,129.0
31,666421158376562688,1,0,1.0,118.0,327.0
32,666428276349472768,1,0,1.0,90.0,171.0
33,666430724426358785,0,0,1.0,204.0,330.0
34,666435652385423360,1,0,2.0,54.0,170.0
35,666437273139982337,1,0,2.0,52.0,131.0
36,666447344410484738,1,0,2.0,23.0,107.0
37,666454714377183233,1,0,3.0,223.0,545.0
38,666644823164719104,1,0,15.0,88.0,238.0
39,666649482315059201,1,0,16.0,608.0,923.0
40,666691418707132416,1,0,18.0,51.0,196.0
41,666701168228331520,1,0,19.0,234.0,449.0
42,666739327293083650,1,0,22.0,71.0,244.0
43,666776908487630848,0,0,0.0,186.0,368.0
